('bin', 80, 'DS', 0.0, 'H2O', 0.0357872438916395, 'Na', 0.0, 'Br', 0.00018868494143219422)
('bin', 81, 'DS', 0.0, 'H2O', 0.03094433039487985, 'Na', 0.0, 'Br', 0.0)
('bin', 82, 'DS', 0.0, 'H2O', 0.03346012961397577, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 83, 'DS', 0.0, 'H2O', 0.03220223000442781, 'Na', 0.0, 'Br', 0.0)
('bin', 84, 'DS', 0.0, 'H2O', 0.031447490238699034, 'Na', 0.0, 'Br', 0.0005660548242965826)
('bin', 85, 'DS', 0.0, 'H2O', 0.03408907941874976, 'Na', 0.0, 'Br', 0.0)
('bin', 86, 'DS', 0.0, 'H2O', 0.033585919574930574, 'Na', 0.00018868494143219422, 'Br', 0.0005660548242965826)
('bin', 87, 'DS', 0.0, 'H2O', 0.032076440043473015, 'Na', 0.0, 'Br', 0.00018868494143219422)
('bin', 88, 'DS', 0.0, 'H2O', 0.0324538099263374, 'Na', 0.00037736988286438843, 'Br', 0.0)
('bin', 89, 'DS', 0.0, 'H2O', 0.03352302459445317, 'Na', 0.00037736988286438843, 'Br', 0.00037736988286438843)
('bin', 90, 'DS', 0.0, 'H2O', 0.033774604516362765, 'Na', 0.00018868494143219422, 'Br', 0.0)
('bin', 91, 'DS', 0.0, 'H2O', 0.03346012961397577, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 92, 'DS', 0.0, 'H2O', 0.03289407478967919, 'Na', 0.0005660548242965826, 'Br', 0.00018868494143219422)
('bin', 93, 'DS', 0.0, 'H2O', 0.03327144467254358, 'Na', 0.00018868494143219422, 'Br', 0.00037736988286438843)
('bin', 94, 'DS', 0.0, 'H2O', 0.03295696977015659, 'Na', 0.00037736988286438843, 'Br', 0.00018868494143219422)
('bin', 95, 'DS', 0.0, 'H2O', 0.03301986475063399, 'Na', 0.0005660548242965826, 'Br', 0.0005660548242965826)
('bin', 96, 'DS', 0.0, 'H2O', 0.03320854969206618, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 97, 'DS', 0.0, 'H2O', 0.03138459525822164, 'Na', 0.00018868494143219422, 'Br', 0.0)
('bin', 98, 'DS', 0.0, 'H2O', 0.03465513424304634, 'Na', 0.0, 'Br', 0.0)
